TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,CONSTRAINT_NAME
dbo,__AudioVideoMigrationHistory,MigrationId,PK___AudioVideoMigrationHistory
dbo,ABtestResults,Id,PK_ABtestResults
dbo,ActionAudits,Id,PK_ActionAudits
dbo,active_backend_id_is_null,Id,PK__active_b__3214EC07C6F6EE94
dbo,active_backend_id_is_null_full,Id,PK__active_b__3214EC07AB508684
dbo,AudioVideoAttendees,Id,PK_AudioVideoAttendees
dbo,AudioVideoMeetings,Id,PK_AudioVideoMeetings
dbo,AwsAccountPools,Id,PK_AwsAccountPools
dbo,AwsAccountRuns,Id,PK_AwsAccountRuns
dbo,AwsAccounts,Id,PK_AwsAccounts
dbo,BackendControllerOwnerships,Id,PK_BackendControllerOwnerships
dbo,BackendEnvPreparationAudits,Id,PK_BackendEnvPreparationAudits
dbo,BackendEnvs,Id,PK_BackendEnvs
dbo,BackendMachineGroups,Id,PK_BackendMachineGroups
dbo,BackendMachineRegionAmis,Id,PK_BackendMachineRegionAmis
dbo,BackendMachines,Id,PK_BackendMachines
dbo,BackendMachineSharedFolders,Id,PK_BackendMachineSharedFolders
dbo,BackendNotifications,Id,PK_BackendNotifications
dbo,BackendPrototypeEnvs,Id,PK_BackendPrototypeEnvs
dbo,BackendPrototypeRegionConfigs,Id,PK_BackendPrototypeRegionConfigs
dbo,Checkpoints,Id,PK_Checkpoints
dbo,ChocolateyPackages,Id,PK_ChocolateyPackages
dbo,ClassSponsoredLinks,Id,PK_ClassSponsoredLinks
dbo,CloudshareIdentityVerificationMessages,Id,PK_CloudshareIdentityVerificationMessages
dbo,CloudshareResourcesQuotas,Id,PK_CloudshareResourcesQuotas
dbo,ClusterHosts,Id,PK_ClusterHosts
dbo,CommonPasswords,Id,PK_CommonPasswords
dbo,ContentFolderMemberships,Id,PK_ContentFolderMemberships
dbo,ContentFolders,Id,PK_ContentFolders
dbo,ContractAwsAmis,Id,PK_ContractAwsAmis
dbo,Contracts,Id,PK_Contracts
dbo,Contracts_Projects,ContractId,PK_Contracts_Projects
dbo,Contracts_Projects,ProjectId,PK_Contracts_Projects
dbo,Contracts_Users,ContractId,PK_Contracts_Users
dbo,Contracts_Users,UserId,PK_Contracts_Users
dbo,ContractsTerms,Id,PK_ContractsTerms
dbo,CourseMeetings,Id,PK_CourseMeetings
dbo,CoursePredictions,Id,PK_CoursePredictions
dbo,CourseRegions,Id,PK_CourseRegions
dbo,Courses,Id,PK_Courses
dbo,CourseStages,Id,PK_CourseStages
dbo,CustomEmails,Id,PK_CustomEmails
dbo,CustomFieldDefinitions,Id,PK_CustomFieldDefinitions
dbo,CustomFieldValues,Id,PK_CustomFieldValues
dbo,DcmTotalResources,Id,PK_DcmTotalResources
dbo,DeleteEnvRequests,Id,PK_DeleteEnvRequests
dbo,DeprovisionSteps,Id,PK_DeprovisionSteps
dbo,EditMachineOperationsAdditionalData,Id,PK_EditMachineOperationsAdditionalData
dbo,EndUserLoginCustomizations,Id,PK_EndUserLoginCustomizations
dbo,EndUsersAccessPermissions,Id,PK_EndUsersAccessPermissions
dbo,EnvBenvAssignments,Id,PK_EnvBenvAssignments
dbo,EnvBillingOperations,Id,PK_EnvBillingOperations
dbo,EnvOperationAudits,Id,PK_EnvOperationAudits
dbo,EnvProjectRoles,Id,PK_EnvProjectRoles
dbo,EnvTemplates,Id,PK_EnvTemplates
dbo,EnvUserRoles,Id,PK_EnvUserRoles
dbo,ExpiryNotificationTypes,Id,PK_ExpiryNotificationTypes
dbo,ExternalCloudCredentials,Id,PK_ExternalCloudCredentials
dbo,ExternalClouds,Id,PK_ExternalClouds
dbo,ExternalCloudsCreateScripts,Id,PK_ExternalCloudsCreateScripts
dbo,ExternalCloudVms,Id,PK_ExternalCloudVms
dbo,ExternallyPayingSubscriptionsInvoices,Id,PK_ExternallyPayingSubscriptionsInvoices
dbo,ExternalResourcesEnvPrototypeVersions,Id,PK_ExternalResourcesEnvPrototypeVersions
dbo,ExternalResourcesParameters,Id,PK_ExternalResourcesParameters
dbo,ExternalResourcesQuotas,Id,PK_ExternalResourcesQuotas
dbo,FastUploadFolders,Id,PK_FastUploadFolders
dbo,FinishedWelcomeTours,Id,PK_FinishedWelcomeTours
dbo,GuestOsIdentifiers,Id,PK__GuestOsI__3214EC07EDC318CA
dbo,GuidedJourneyChapters,Id,PK_GuidedJourneyChapters
dbo,GuidedJourneys,Id,PK_GuidedJourneys
dbo,GuidedJourneySectionProgresses,Id,PK_GuidedJourneySectionProgresses
dbo,GuidedJourneySections,Id,PK_GuidedJourneySections
dbo,IdRanges,Key,PK__IdRanges__C41E028802F25272
dbo,Instructors,Id,PK_Instructors
dbo,Invitations,Id,PK_Invitations
dbo,IpAllocationAudits,Id,PK_IpAllocationAudits
dbo,IsoFileRegions,Id,PK_IsoFileRegions
dbo,IsoFiles,Id,PK_IsoFiles
dbo,IsoFiles_Projects,IsoFileId,PK_IsoFiles_Projects
dbo,IsoFiles_Projects,ProjectId,PK_IsoFiles_Projects
dbo,Jobs,Id,PK_Jobs
dbo,JobTypes,Id,PK_JobTypes
dbo,JobTypesParameters,Id,PK_JobTypesParameters
dbo,LmsIntegrations,Id,PK_LmsIntegrations
dbo,longreads,RowNumber,PK__longread__AAAC09D849786DD9
dbo,LtiConfigurations,Id,PK_LtiConfigurations
dbo,MachineDomains,Id,PK_MachineDomains
dbo,MachineInstanceTypes,Id,PK_MachineInstanceTypes
dbo,Machines,Id,PK_Machines
dbo,MachineScriptRuns,Id,PK_MachineScriptRuns
dbo,MachineUsers,Id,PK_MachineUsers
dbo,MachineVanityNames,Id,PK_MachineVanityNames
dbo,MarketingPanes,Id,PK_MarketingPanes
dbo,MessageGroupViewAudits,Id,PK_MessageGroupViewAudits
dbo,Messages,Id,PK_Messages
dbo,NetAdapters,Id,PK_NetAdapters
dbo,Networks,Id,PK_Networks
dbo,NonBusinessEmailDomains,Id,PK_NonBusinessEmailDomains
dbo,OsFamilies,Id,PK__OsFamili__3214EC0753A885CB
dbo,Permalinks,Id,PK_Permalinks
dbo,Pipelines,Id,PK_Pipelines
dbo,PipelinesInstances,Id,PK_PipelinesInstances
dbo,PredictorTrainings,Id,PK_PredictorTrainings
dbo,ProjectIpRestrictions,Id,PK_ProjectIpRestrictions
dbo,ProjectPrototypes,Id,PK_ProjectPrototypes
dbo,Projects,Id,PK_Projects
dbo,ProjectsFeatureFlags,Id,PK_ProjectsFeatureFlags
dbo,ProjectsFlags,Id,PK_ProjectsFlags
dbo,ProjectTeams,Id,PK_ProjectTeams
dbo,Prototypes,Id,PK_Prototypes
dbo,PrototypeVersions,Id,PK_PrototypeVersions
dbo,PrototypeVersionsRegions,Id,PK_PrototypeVersionsRegions
dbo,Regions,Id,PK_Regions
dbo,RemoteAccessSettings,Id,PK_RemoteAccessSettings
dbo,Requests,Id,PK_Requests
dbo,RoleBasedPermissions,Id,PK_RoleBasedPermissions
dbo,ServiceNotifications,Id,PK_ServiceNotifications
dbo,SharedEnvMemberships,Id,PK_SharedEnvMemberships
dbo,SharedEnvMemSubEnvs,Id,PK_SharedEnvMemSubEnvs
dbo,SharedNetworkNetAdapters,Id,PK_SharedNetworkNetAdapters
dbo,SlackWebhooks,Id,PK_SlackWebhooks
dbo,SponsoredEnvTokens,Id,PK_SponsoredEnvTokens
dbo,SsoConnectors,Id,PK_SsoConnectors
dbo,SsoConnectors_Projects,ProjectId,PK_SsoConnectors_Projects
dbo,SsoConnectors_Projects,SsoConnectorId,PK_SsoConnectors_Projects
dbo,Stages,Id,PK_Stages
dbo,StagesInstances,Id,PK_StagesInstances
dbo,StorageSettings,Id,PK_StorageSettings
dbo,StorageSettingsProjects,Id,PK_StorageSettingsProjects
dbo,Students,Id,PK_Students
dbo,SubjectImages,Id,PK_SubjectImages
dbo,sysdiagrams,diagram_id,PK__sysdiagr__C2B05B613BA2617C
dbo,TemplateCategories,Id,PK_TemplateCategories
dbo,TemplateImages,Id,PK_TemplateImages
dbo,Templates,Id,PK_Templates
dbo,TemplateVersions,Id,PK_TemplateVersions
dbo,TemplateVersionsRegions,Id,PK_TemplateVersionsRegions
dbo,TimeZoneInfo,Id,PK_TimeZoneInfo
dbo,TrainingSettings,Id,PK_TrainingSettings
dbo,TransferJobs,Id,PK_TransferJobs
dbo,TransferJobsCloudStorageCopyRequests,Id,PK_TransferJobsCloudStorageCopyRequests
dbo,UserEnvStudents,Id,PK_UserEnvStudents
dbo,UserFavorites,Id,PK_UserFavorites
dbo,UserFeatureViews,Id,PK_UserFeatureViews
dbo,UserNotifications,Id,PK_UserNotifications
dbo,UserOAuthAccessTokens,Id,PK_UserOAuthAccessTokens
dbo,Users,Id,PK_Users
dbo,Users_ContractFolders,ContractId,PK_Users_ContractFolders
dbo,Users_ContractFolders,UserId,PK_Users_ContractFolders
dbo,UsersProjects,Id,PK_UsersProjects
dbo,UsersProjectsDefaultTeams,Id,PK_UsersProjectsDefaultTeam
dbo,VanityNameWords,Id,PK_VanityNameWords
dbo,ViewerCustomizations,Id,PK_ViewerCustomizations
dbo,ViewerPages,Id,PK_ViewerPages
dbo,VmImports,Id,PK_VmImports
dbo,VmwareApiVersions,Id,PK__VmwareAp__3214EC073C47D340
dbo,VVisionLearnRequests,Id,PK_VVisionLearnRequests
dbo,WebHookSubscriptions,Id,PK_WebHookSubscriptions
dbo,WebSessionAudits,Id,PK_WebSessionAudits
dbo,WorkerCommands,Id,PK_WorkerCommands
