TABLE_SCHEMA,TABLE_NAME,CONSTRAINT_NAME,COLUMN_NAME
dbo,EnvBillingOperations,UQ_EnvBillingOperations_BIZKEY,EntAppEnvId
dbo,EnvBillingOperations,UQ_EnvBillingOperations_BIZKEY,EffectiveFrom
dbo,ExpiryNotificationTypes,UQ_ExpiryNotifications_BIZKEY,ForEntityTypeInt
dbo,ExpiryNotificationTypes,UQ_ExpiryNotifications_BIZKEY,Name
dbo,FastUploadFolders,UQ_FastUploadFolders_BIZKEY,UserId
dbo,FastUploadFolders,UQ_FastUploadFolders_BIZKEY,ParentName
dbo,FastUploadFolders,UQ_FastUploadFolders_BIZKEY,FolderName
dbo,FastUploadFolders,UQ_FastUploadFolders_BIZKEY,ValidUntil
dbo,Invitations,UQ_Invitations_BIZKEY,RandomToken
dbo,ProjectPrototypes,UQ_ProjectPrototypes_BIZKEY,ProjectId
dbo,ProjectPrototypes,UQ_ProjectPrototypes_BIZKEY,PrototypeId
dbo,ProjectPrototypes,UQ_ProjectPrototypes_BIZKEY,ValidUntil
dbo,Projects,UQ_Projects_BIZKEY,UniqueToken
dbo,Projects,UQ_Projects_BIZKEY,ValidUntil
dbo,ProjectTeams,UQ_ProjectTeams_BIZKEY,ProjectId
dbo,ProjectTeams,UQ_ProjectTeams_BIZKEY,Name
dbo,ProjectTeams,UQ_ProjectTeams_BIZKEY,ValidUntil
dbo,PrototypeVersions,UQ_PrototypeVersions_BIZKEY,PrototypeId
dbo,PrototypeVersions,UQ_PrototypeVersions_BIZKEY,Version_Number
dbo,sysdiagrams,UK_principal_name,principal_id
dbo,sysdiagrams,UK_principal_name,name
dbo,Users,UQ_Users_BIZKEY,Email
